event_type,product_id,category_code,brand,price,shipping_price,seller,ratings,title
view,,smartphone,Unknown Brand,,0.0,Unknown Seller,,
view,,smartphone,Unknown Brand,,0.0,Unknown Seller,,
view,item4e01c81b51,smartphone,Unknown Brand,,0.0,"cocosprinkles (32,765) 99.8%",5.0,"Apple iPhone SE 3rd (Great Condition) - (AT&T, T-Mobile or Verizon) 64 128 256"
view,item34b40966cc,smartphone,Unknown Brand,,0.0,"cocosprinkles (32,765) 99.8%",5.0,"Apple iPhone SE 2nd Gen (Great Condition) - (Unlocked, T-Mobile, Verizon, AT&T)"
view,item349adbf4fc,smartphone,Unknown Brand,,0.0,"cocosprinkles (32,765) 99.8%",5.0,"Apple iPhone 8 (Great Condition) - (Unlocked, T-Mobile, Verizon, AT&T etc...)"
view,item36be0e27e7,smartphone,Unknown Brand,,0.0,"nextdaymobiles (24,164) 99.4%",5.0,Google Pixel 7 Pro 128GB 256GB 5G Unlocked Various Colours Smartphone | Average
view,item240c066c32,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",4.0,HTC HD2 PB81100 Black Unlocked 512MB Touchscreen Windows Smartphone
view,item4916c19f20,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",5.0,"Samsung Galaxy S3 I9300 White Unlocked 16GB 1GB RAM 4.8"" Android Smartphone"
view,item5e66334016,smartphone,Unknown Brand,,0.0,soimn2 (220) 97.4%,,"Unlocked 7.3"" S24 Ultra 5G Smartphone Android Cell Phone Dual SIM Mobile Phones"
view,item34b469b5a4,smartphone,Unknown Brand,,0.0,"nextdaymobiles (24,164) 99.4%",,Google Pixel 8 Pro 128GB 256GB 512GB Unlocked Various Colours Mobile | Average
view,,smartphone,Unknown Brand,,0.0,"nextdaymobiles (24,164) 99.4%",,Google Pixel 7 Pro 128GB 256GB 5G Unlocked Various Colours Smartphone | Average
view,,smartphone,Unknown Brand,,0.0,"ireco.ltd (20,826) 98.5%",,Motorola RAZR V3 Retro Flip Phone - All Colours Unlocked - Pristine GRADE A+
view,,smartphone,Unknown Brand,,0.0,"onemoremobile (20,229) 99.5%",,Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A
view,,smartphone,Unknown Brand,,0.0,"786traders (46,673) 98.3%",,Ex-Display 4G 32GB SAMSUNG GALAXY J7 PRIME ANDROID DUAL SIM UNLOCKED SMARTPHONE
view,,smartphone,Unknown Brand,,0.0,"skygobalphone (18,427) 98.7%",,For Samsung S24 S23 S22 S21 S20 Ultra A53 A13 S23 S24 FE A15 360 Full Clear Case
view,,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",,Samsung Galaxy J6 2018 Black Unlocked Dual Sim 32GB 2GB RAM Android Smartphone
view,,smartphone,Unknown Brand,,0.0,"tradersplusltd (16,230) 99%",,New Samsung Galaxy A06 Smartphone 64GB Unlocked 4G Dual Sim All Colour
view,,smartphone,Unknown Brand,,0.0,"connectedmobiles (19,033) 98.9%",,Samsung Galaxy Y Young GT-S5360 - Black Pink (Unlocked) Smartphone Mobile
view,item4bf86df9be,smartphone,Unknown Brand,,0.0,"with_us (20,594) 98.3%",,ALT MIVE Style Folder 32GB AT-M120 Unlocked LTE/3G - White
view,item4e2353c99f,smartphone,Unknown Brand,,0.0,"with_us (20,594) 98.3%",,ALT MIVE Style Folder 32GB AT-M120 Unlocked LTE/3G - Black
view,item4904a0c9ad,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",4.0,"Samsung Galaxy S3 I9300 Blue Unlocked 16GB 1GB RAM 4.8"" Android Smartphone"
view,item59cca12f81,smartphone,Unknown Brand,,0.0,"londonmagicstore (1,716,881) 96.5%",4.5,Microsoft Lumia 650 16GB Unlocked Windows 10 4G Smartphone - Grade A++ Pristine
view,item24658e1edf,smartphone,Unknown Brand,,0.0,used-phone-working-perfectly (417) 94.4%,,"Samsung Galaxy Folder 2 SM-G1600 Dual Sim 16GB Android Unlocked 3.8"" Smartphone"
view,item1f74ac8c41,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",4.0,BLU C5L Max (C0170WW) 16GB / 32GB (GSM Unlocked) Dual SIM Android Smartphone
view,item451aa8b302,smartphone,Unknown Brand,,0.0,"backspac3 (3,013) 99.3%",,USED 4/10 Kyocera DuraXV Extreme E4810 - 16GB - Black Verizon Smartphone
view,item1f7ee8a2a4,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular A24 - 32GB - (CARRIER UNKNOWN) Single SIM Android Smartphone
view,item21a86bcab1,smartphone,Unknown Brand,,0.0,"ireco.ltd (20,826) 98.5%",,Motorola RAZR V3 Retro Flip Phone - All Colours Unlocked - Pristine GRADE A+
view,item2b68601c12,smartphone,Unknown Brand,,0.0,gokase_gk (109) 100%,,Kyocera 501KC/502kc Digno Keitai Android Flip Phone Pink Unlocked From Japan
view,item23f8a20149,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",4.5,Microsoft Lumia 650 RM-1152 Black Unlocked 16GB 1GB RAM Windows Smartphone
view,item495824dc72,smartphone,Unknown Brand,,0.0,ohtas-0 (174) 100%,,KYOCERA 902KC DIGNO KEITAI 3 ANDROID FLIP PHONE Silver SoftBank UNLOCKED JAPAN
view,item2f96278bc6,smartphone,Unknown Brand,,0.0,"japanhobby-55 (1,482) 95.8%",,SHARP AQUOS Keitai 601SH Softbank Unlocked SIM Free variation lot
view,item349a137b98,smartphone,Unknown Brand,,0.0,"nextdaymobiles (24,164) 99.4%",4.5,Google Pixel 4A 5G 128GB Unlocked Black Android Smartphone Mobile | Average
view,item2427c1bbec,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",4.0,"Samsung Galaxy S2 I9100 White Unlocked 16GB 1GB RAM 4.3"" Android Smartphone"
view,item49584bfaf7,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",,"LG K4 2017 Black Unlocked 8GB 1GB RAM 5MP 5"" Android Smartphone"
view,item34b8283b63,smartphone,Unknown Brand,,0.0,"tradersplusltd (16,230) 99%",,New Samsung Galaxy A05 Smartphone 64GB Unlocked 4G Dual Sim All Colour
view,item5235bc9aa1,smartphone,Unknown Brand,,0.0,"techmanic.ltd (9,959) 97.5%",4.5,Samsung Galaxy S6 - 32GB - Black Sapphire (Unlocked) Smartphone
